                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9966,                 1.8114,                 1.4973,                0.69242,                0.50719,                0.55749,                0.28091,                 1.8053,                 1.6753,                 1.4572,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0093,                 1.8443,                 1.4758,                0.64745,                0.53716,                0.55734,                0.27726,                 1.8158,                 1.7383,                  1.455,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0026,                 1.7822,                 1.5061,                0.60167,                0.56917,                0.56873,                0.28558,                 1.7602,                 1.8183,                 1.4375,               0.001307,               0.001307,               0.001307
                     38,                  1.955,                 1.6778,                 1.4184,                0.67731,                0.52174,                0.56531,                0.26591,                 1.8221,                 1.7046,                 1.4333,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0389,                  1.691,                 1.4951,                 0.6966,                0.50198,                0.56543,                0.27422,                 1.7743,                 2.0541,                 1.4247,              0.0012674,              0.0012674,              0.0012674
                     40,                  2.003,                 1.5636,                 1.4288,                0.71144,                0.52964,                 0.5716,                0.26807,                 1.8111,                 1.8189,                 1.4374,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0232,                 1.8157,                 1.4993,                 0.7422,                0.49802,                0.59006,                0.28785,                 1.7718,                 1.7051,                 1.4213,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.9644,                 1.6595,                 1.4454,                0.71855,                0.55336,                0.59339,                0.30024,                 1.7325,                 1.5494,                  1.407,               0.001208,               0.001208,               0.001208
                     43,                 1.9605,                 1.6144,                 1.4687,                0.66881,                 0.5415,                0.58432,                0.29394,                 1.7583,                   1.52,                 1.4196,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.9181,                 1.5601,                 1.4115,                0.68515,                0.52569,                0.56845,                 0.2826,                 1.7473,                 1.4843,                 1.4084,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.0499,                 1.7017,                 1.4426,                0.67352,                0.51369,                0.55299,                 0.2812,                 1.7328,                  1.557,                 1.4008,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8904,                  1.628,                 1.4539,                0.73663,                0.49802,                0.58915,                0.30796,                 1.6931,                 1.5577,                 1.3845,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9001,                 1.6495,                 1.4259,                0.72631,                0.54544,                0.59738,                0.30752,                 1.7108,                 1.5945,                 1.3895,               0.001109,               0.001109,               0.001109
                     48,                 1.8964,                 1.5123,                 1.3775,                0.70223,                0.54545,                0.60861,                0.32669,                 1.7149,                 1.4512,                  1.383,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9569,                 1.5599,                 1.4388,                 0.6805,                0.52174,                0.59404,                0.30498,                 1.7126,                 1.4894,                 1.3902,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8611,                 1.4737,                 1.4192,                0.68425,                0.56126,                0.60068,                 0.3065,                 1.6774,                 1.4896,                  1.383,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.9915,                  1.617,                 1.4823,                0.68103,                0.53755,                0.58956,                0.30126,                 1.7166,                 1.4418,                 1.3938,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.8387,                 1.5147,                 1.3885,                0.71431,                0.55343,                0.59706,                0.29961,                 1.7356,                 1.4508,                 1.3865,                0.00101,                0.00101,                0.00101
                     53,                 1.9144,                 1.5083,                 1.4177,                0.68669,                0.54941,                0.58576,                0.30911,                 1.6687,                 1.4026,                 1.3618,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8762,                 1.5925,                 1.3938,                0.68134,                0.54931,                0.59725,                0.31795,                 1.6985,                 1.4679,                 1.3728,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.8518,                 1.5208,                 1.4326,                0.66053,                0.58893,                0.62381,                0.33079,                  1.651,                 1.4676,                 1.3564,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.9245,                 1.4586,                 1.4145,                0.66134,                0.57312,                0.60962,                 0.3299,                 1.6525,                 1.4229,                 1.3551,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8934,                 1.4488,                 1.4349,                0.64916,                0.60474,                0.62664,                0.34755,                 1.6142,                  1.369,                 1.3295,               0.000911,               0.000911,               0.000911
                     58,                 1.7769,                 1.3953,                 1.4118,                0.68898,                0.58666,                0.64325,                0.35445,                 1.6215,                 1.4169,                 1.3346,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.8858,                 1.4745,                 1.3994,                0.68728,                0.56126,                0.61905,                0.33122,                 1.6039,                 1.4383,                 1.3333,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.8368,                 1.4175,                 1.3666,                0.71881,                0.55573,                0.62265,                0.34541,                 1.5993,                 1.3888,                 1.3254,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.8362,                 1.4262,                 1.3652,                0.69184,                0.58103,                0.61783,                0.32936,                 1.7509,                 1.4169,                 1.3803,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.9247,                 1.5434,                 1.3788,                0.69574,                0.56036,                0.61048,                0.32058,                 1.7239,                 1.3682,                 1.3786,               0.000812,               0.000812,               0.000812
                     63,                 1.8669,                 1.5089,                 1.4032,                 0.8072,                0.57312,                0.66474,                 0.3624,                 1.5911,                  1.282,                 1.3294,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.8511,                 1.4464,                 1.3708,                0.76192,                0.55656,                0.63609,                0.34546,                 1.5848,                 1.3701,                 1.3094,              0.0007724,              0.0007724,              0.0007724
