                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.98578,                0.87613,                 1.3466,                0.71195,                0.24324,                0.30257,                0.20419,                 1.9732,                 2.4025,                 2.2681,               0.006634,               0.006634,               0.006634
                     37,                0.98008,                0.85666,                 1.3448,                0.52534,                0.30221,                0.31246,                0.20717,                 1.9811,                  2.374,                 2.3183,               0.006535,               0.006535,               0.006535
                     38,                0.96816,                0.85252,                 1.3419,                0.54747,                0.32432,                0.32997,                 0.2228,                 2.0015,                 2.3053,                 2.3227,               0.006436,               0.006436,               0.006436
                     39,                0.97005,                0.85064,                 1.3366,                0.72304,                 0.2457,                0.31196,                0.20701,                 2.0082,                 2.4057,                 2.3328,               0.006337,               0.006337,               0.006337
                     40,                0.96769,                0.83564,                 1.3328,                0.48964,                0.30713,                 0.2987,                0.20561,                 2.0173,                 2.4577,                 2.3105,               0.006238,               0.006238,               0.006238
                     41,                0.95078,                0.81899,                 1.3205,                0.51453,                0.29975,                0.31551,                0.20489,                 2.0629,                 2.3882,                 2.4297,               0.006139,               0.006139,               0.006139
                     42,                0.93504,                0.79483,                 1.3055,                0.50127,                0.32678,                0.33271,                0.22026,                 1.9811,                 2.2565,                  2.271,                0.00604,                0.00604,                0.00604
                     43,                0.94455,                0.80052,                 1.3107,                0.56961,                0.27027,                0.31657,                0.20946,                 2.0634,                 2.4712,                 2.3805,               0.005941,               0.005941,               0.005941
                     44,                0.93669,                0.79954,                 1.3044,                0.63258,                0.28256,                 0.3394,                0.22063,                 1.9965,                 2.2228,                 2.2845,               0.005842,               0.005842,               0.005842
                     45,                0.93268,                0.78904,                 1.3022,                0.47803,                0.32678,                  0.319,                0.21427,                  1.987,                 2.3954,                 2.2823,               0.005743,               0.005743,               0.005743
                     46,                0.91579,                0.76713,                 1.2899,                0.49621,                0.29238,                0.31485,                0.20961,                 2.0281,                 2.4046,                 2.2707,               0.005644,               0.005644,               0.005644
                     47,                0.92501,                0.77252,                 1.2977,                0.72046,                0.24816,                0.30927,                0.21309,                 1.9962,                 2.3815,                 2.2741,               0.005545,               0.005545,               0.005545
                     48,                 0.9121,                0.75162,                 1.2825,                0.48305,                0.31941,                0.33255,                0.21763,                 2.0014,                 2.3298,                  2.332,               0.005446,               0.005446,               0.005446
                     49,                0.91115,                0.75035,                 1.2821,                 0.5883,                0.26536,                0.31793,                0.21831,                 1.9997,                 2.3414,                 2.2597,               0.005347,               0.005347,               0.005347
                     50,                0.90816,                0.74986,                 1.2827,                0.56823,                0.28256,                0.30825,                0.21264,                 2.0333,                 2.4828,                 2.3477,               0.005248,               0.005248,               0.005248
                     51,                0.90073,                0.74369,                 1.2739,                0.62477,                0.28501,                 0.3325,                0.22617,                  2.009,                 2.3376,                 2.2831,               0.005149,               0.005149,               0.005149
                     52,                0.90021,                0.74421,                 1.2695,                0.61228,                0.28256,                0.32786,                0.22083,                 2.0008,                 2.3159,                 2.3129,                0.00505,                0.00505,                0.00505
                     53,                0.89932,                0.73266,                 1.2665,                0.59624,                0.28747,                0.32121,                0.21683,                 2.0301,                 2.4353,                  2.389,               0.004951,               0.004951,               0.004951
                     54,                0.88698,                0.71555,                 1.2543,                0.54275,                0.29484,                0.31293,                0.21254,                 2.0334,                 2.4953,                 2.3324,               0.004852,               0.004852,               0.004852
                     55,                0.87587,                0.70497,                 1.2452,                0.64107,                0.27273,                0.31063,                0.21174,                 2.0258,                 2.4409,                 2.3283,               0.004753,               0.004753,               0.004753
                     56,                0.88652,                0.71803,                 1.2554,                0.61753,                 0.2801,                0.31221,                0.21072,                 2.0193,                 2.4403,                 2.3192,               0.004654,               0.004654,               0.004654
                     57,                0.87141,                 0.6996,                 1.2445,                 0.5569,                0.29484,                0.30311,                0.19923,                 2.0856,                 2.5157,                 2.4192,               0.004555,               0.004555,               0.004555
                     58,                0.86973,                0.68919,                 1.2407,                0.52136,                0.30713,                0.32563,                0.22073,                 2.0109,                 2.4434,                 2.2869,               0.004456,               0.004456,               0.004456
                     59,                0.86985,                0.68517,                 1.2385,                0.49394,                0.28747,                0.30143,                0.20969,                 2.0649,                 2.4711,                 2.3439,               0.004357,               0.004357,               0.004357
                     60,                0.85896,                0.67947,                 1.2306,                0.52781,                0.28014,                0.30308,                0.21286,                  1.991,                 2.5429,                 2.2997,               0.004258,               0.004258,               0.004258
                     61,                0.85534,                0.67583,                 1.2227,                0.61969,                0.27027,                 0.3064,                0.21237,                 2.0192,                 2.4941,                 2.3052,               0.004159,               0.004159,               0.004159
                     62,                0.85363,                0.66993,                 1.2251,                0.53058,                0.31936,                0.33258,                0.22459,                 2.0283,                 2.4393,                 2.3521,                0.00406,                0.00406,                0.00406
                     63,                0.84831,                0.66785,                 1.2174,                 0.5712,                 0.2801,                0.31504,                0.21737,                 2.0104,                 2.4707,                 2.3245,               0.003961,               0.003961,               0.003961
                     64,                0.84469,                0.65618,                 1.2143,                 0.5012,                0.30467,                0.31131,                0.21729,                  2.032,                 2.4598,                 2.3241,               0.003862,               0.003862,               0.003862
